               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.011111,           0.0085803,          0.00035232,             0.99397,              0.9935,              0.9949,             0.91938,            0.009149,           0.0073138,          0.00030891,            0.003796,            0.003796,            0.003796
                  96,              0.0109,           0.0087425,          0.00038043,             0.99385,             0.99324,              0.9949,             0.93652,           0.0085512,           0.0067421,          0.00032556,             0.00373,             0.00373,             0.00373
                  97,            0.010693,           0.0084397,          0.00036457,             0.99402,             0.99335,             0.99483,             0.92659,           0.0085854,           0.0068489,          0.00030881,            0.003664,            0.003664,            0.003664
                  98,             0.01104,           0.0081808,          0.00033301,             0.99374,             0.99311,             0.99497,              0.9258,           0.0088739,             0.00717,          0.00030923,            0.003598,            0.003598,            0.003598
                  99,            0.010274,           0.0086118,          0.00032025,             0.99389,             0.99004,             0.99494,             0.93134,           0.0086489,           0.0070357,          0.00027519,            0.003532,            0.003532,            0.003532
                 100,            0.010652,           0.0085315,          0.00026375,             0.99378,             0.99315,               0.995,              0.9387,           0.0084373,           0.0066982,          0.00024047,            0.003466,            0.003466,            0.003466
                 101,            0.010816,           0.0082637,          0.00025877,             0.99514,             0.99336,             0.99493,             0.92155,           0.0089706,           0.0066293,           0.0002271,              0.0034,              0.0034,              0.0034
                 102,            0.010702,           0.0085839,          0.00027856,             0.99461,             0.99328,               0.995,             0.93345,           0.0084275,           0.0068048,           0.0002593,            0.003334,            0.003334,            0.003334
                 103,            0.010103,           0.0081626,          0.00029463,             0.99328,              0.9935,               0.995,             0.93219,           0.0081653,           0.0069776,          0.00026453,            0.003268,            0.003268,            0.003268
                 104,            0.010114,           0.0082674,          0.00029525,             0.99395,             0.98999,              0.9949,             0.92167,           0.0084186,           0.0070573,          0.00025628,            0.003202,            0.003202,            0.003202
                 105,           0.0099983,           0.0082102,          0.00026964,             0.99342,             0.99175,             0.99487,             0.93272,           0.0085423,           0.0067497,          0.00023418,            0.003136,            0.003136,            0.003136
                 106,            0.010407,           0.0084812,           0.0002537,             0.99378,             0.99641,               0.995,             0.93361,           0.0083205,            0.006416,          0.00021962,             0.00307,             0.00307,             0.00307
                 107,           0.0098672,           0.0079652,          0.00026442,             0.99695,             0.99978,               0.995,             0.93033,           0.0082945,           0.0066689,          0.00022714,            0.003004,            0.003004,            0.003004
                 108,            0.010125,           0.0083918,          0.00026386,             0.99901,             0.99045,             0.99198,             0.93228,            0.008102,            0.007107,          0.00022701,            0.002938,            0.002938,            0.002938
                 109,            0.009327,           0.0074459,          0.00024391,             0.99897,             0.99045,             0.99151,             0.93474,           0.0082879,           0.0072522,          0.00020744,            0.002872,            0.002872,            0.002872
                 110,           0.0096299,           0.0083304,          0.00021674,             0.99919,             0.99066,             0.99206,             0.93296,             0.00829,           0.0071074,          0.00019334,            0.002806,            0.002806,            0.002806
                 111,           0.0094338,           0.0076236,          0.00022204,             0.99703,             0.99338,             0.99491,             0.93793,           0.0081163,           0.0071469,          0.00019854,             0.00274,             0.00274,             0.00274
                 112,           0.0098884,            0.007894,          0.00022421,             0.99686,             0.99524,               0.995,             0.94196,           0.0081352,           0.0071112,          0.00019421,            0.002674,            0.002674,            0.002674
                 113,           0.0092219,           0.0080021,           0.0002276,             0.99674,             0.99484,               0.995,              0.9385,           0.0079464,           0.0068718,          0.00018978,            0.002608,            0.002608,            0.002608
                 114,           0.0096689,           0.0079994,          0.00025283,             0.99683,             0.99595,               0.995,             0.94739,             0.00796,           0.0067356,          0.00019921,            0.002542,            0.002542,            0.002542
                 115,           0.0089199,           0.0075172,          0.00023389,             0.99687,             0.99564,               0.995,             0.94013,           0.0079238,           0.0067678,           0.0001902,            0.002476,            0.002476,            0.002476
                 116,           0.0091917,           0.0075775,          0.00022249,             0.99558,             0.98713,             0.99157,             0.93832,           0.0081408,            0.007199,          0.00018272,             0.00241,             0.00241,             0.00241
